"1","022021","Comuna 3","1","2024-10-16 14:15:02","2024-10-16 14:15:02"
"2","022049","Comuna 7","1","2024-10-16 14:15:02","2024-10-16 14:15:02"
"3","022070","Comuna 10","1","2024-10-16 14:15:02","2024-10-16 14:15:02"
"4","022077","Comuna 11","1","2024-10-16 14:15:02","2024-10-16 14:15:02"
"5","022105","Comuna 15","1","2024-10-16 14:15:02","2024-10-16 14:15:02"
"6","022014","Comuna 2","1","2024-10-16 14:15:02","2024-10-16 14:15:02"
"7","022056","Comuna 8","1","2024-10-16 14:15:02","2024-10-16 14:15:02"
"8","022042","Comuna 6","1","2024-10-16 14:15:02","2024-10-16 14:15:02"
"9","022063","Comuna 9","1","2024-10-16 14:15:02","2024-10-16 14:15:02"
"10","022035","Comuna 5","1","2024-10-16 14:15:02","2024-10-16 14:15:02"
"11","022084","Comuna 12","1","2024-10-16 14:15:02","2024-10-16 14:15:02"
"12","022091","Comuna 13","1","2024-10-16 14:15:02","2024-10-16 14:15:02"
"13","022007","Comuna 1","1","2024-10-16 14:15:02","2024-10-16 14:15:02"
"14","022098","Comuna 14","1","2024-10-16 14:15:02","2024-10-16 14:15:02"
"15","022028","Comuna 4","1","2024-10-16 14:15:02","2024-10-16 14:15:02"
"16","585014","Aguada San Roque","2","2024-10-16 14:15:02","2024-10-16 14:15:02"
"17","580196","Barrancas","2","2024-10-16 14:15:02","2024-10-16 14:15:02"
"18","580014","Añelo","2","2024-10-16 14:15:02","2024-10-16 14:15:02"
"19","585126","Quili Malal","2","2024-10-16 14:15:02","2024-10-16 14:15:02"
"20","580070","Plottier","2","2024-10-16 14:15:02","2024-10-16 14:15:02"
"21","585133","Covunco Abajo","2","2024-10-16 14:15:02","2024-10-16 14:15:02"
"22","580210","Rincón de los Sauces","2","2024-10-16 14:15:02","2024-10-16 14:15:02"
"23","580203","Buta Ranquil","2","2024-10-16 14:15:02","2024-10-16 14:15:02"
"24","580231","Las Lajas","2","2024-10-16 14:15:02","2024-10-16 14:15:02"
"25","580245","Zapala","2","2024-10-16 14:15:02","2024-10-16 14:15:02"
"26","580252","Villa Pehuenia","2","2024-10-16 14:15:02","2024-10-16 14:15:02"
"27","585070","Villa Traful","2","2024-10-16 14:15:02","2024-10-16 14:15:02"
"28","580168","Caviahue - Copahue","2","2024-10-16 14:15:02","2024-10-16 14:15:02"
"29","580056","Neuquén","2","2024-10-16 14:15:02","2024-10-16 14:15:02"
"30","580042","Centenario","2","2024-10-16 14:15:02","2024-10-16 14:15:02"
"31","580084","Villa El Chocón","2","2024-10-16 14:15:02","2024-10-16 14:15:02"
"32","580049","Cutral Co","2","2024-10-16 14:15:02","2024-10-16 14:15:02"
"33","580063","Plaza Huincul","2","2024-10-16 14:15:02","2024-10-16 14:15:02"
"34","580224","Bajada del Agrio","2","2024-10-16 14:15:02","2024-10-16 14:15:02"
"35","585056","Villa Curi Leuvú","2","2024-10-16 14:15:02","2024-10-16 14:15:02"
"36","580098","Chos Malal","2","2024-10-16 14:15:02","2024-10-16 14:15:02"
"37","585154","Villa Puente Picún Leufú","2","2024-10-16 14:15:02","2024-10-16 14:15:02"
"38","585091","Varvarco - Invernada Vieja","2","2024-10-16 14:15:02","2024-10-16 14:15:02"
"39","585028","Pilo Lil","2","2024-10-16 14:15:02","2024-10-16 14:15:02"
"40","585140","Los Catutos","2","2024-10-16 14:15:02","2024-10-16 14:15:02"
"41","585105","Octavio Pico","2","2024-10-16 14:15:02","2024-10-16 14:15:02"
"42","585112","El Sauce","2","2024-10-16 14:15:02","2024-10-16 14:15:02"
"43","580217","Picún Leufú","2","2024-10-16 14:15:02","2024-10-16 14:15:02"
"44","580028","Las Coloradas","2","2024-10-16 14:15:02","2024-10-16 14:15:02"
"45","585035","Santo Tomás","2","2024-10-16 14:15:02","2024-10-16 14:15:02"
"46","580035","Piedra del Águila","2","2024-10-16 14:15:02","2024-10-16 14:15:02"
"47","585077","Guañacos","2","2024-10-16 14:15:02","2024-10-16 14:15:02"
"48","580161","Los Miches","2","2024-10-16 14:15:02","2024-10-16 14:15:02"
"49","585098","Villa del Nahueve","2","2024-10-16 14:15:02","2024-10-16 14:15:02"
"50","580140","Andacollo","2","2024-10-16 14:15:02","2024-10-16 14:15:02"
"51","580175","El Cholar","2","2024-10-16 14:15:02","2024-10-16 14:15:02"
"52","580182","El Huecú","2","2024-10-16 14:15:02","2024-10-16 14:15:02"
"53","580189","Taquimilán","2","2024-10-16 14:15:02","2024-10-16 14:15:02"
"54","580126","Loncopué","2","2024-10-16 14:15:02","2024-10-16 14:15:02"
"55","585147","Ramón M. Castro","2","2024-10-16 14:15:02","2024-10-16 14:15:02"
"56","585021","Los Chihuidos","2","2024-10-16 14:15:02","2024-10-16 14:15:02"
"57","580112","Junín de los Andes","2","2024-10-16 14:15:02","2024-10-16 14:15:02"
"58","580007","Aluminé","2","2024-10-16 14:15:02","2024-10-16 14:15:02"
"59","580021","San Patricio del Chañar","2","2024-10-16 14:15:02","2024-10-16 14:15:02"
"60","585119","Paso Aguerre","2","2024-10-16 14:15:02","2024-10-16 14:15:02"
"61","580119","San Martín de los Andes","2","2024-10-16 14:15:02","2024-10-16 14:15:02"
"62","580154","Las Ovejas","2","2024-10-16 14:15:02","2024-10-16 14:15:02"
